"A acocote nuevo, tlachiquero viejo."
El mundo es de seis personas y conocemos a cuatro.
El nacionalismo es el sarampión de la humanidad.
"El necio grita, el inteligente habla, el sabio calla."
El necio se mofa de los regaños de su padre.
"El necio siempre habla primero, el sabio al último."
El niño que se ha quemado tiene temor al fuego.
"El novillo no domado, rechaza el arado."
El número de tontos es infinito.
El ocio es el padre de la filosofía.
El ocio es el padre de todos los vicios.
El onceavo mandamiento es no estorbar.
El padre para castigar y la madre para tapar.
El pájaro que es del agua nomás la pechuga saca.
El pájaro que no vuela que agarre ventaja.
El pájaro solo ni llora ni canta bien.
El palo ya no está para cucharas.
El pan ajeno hace al hijo bueno.
El pan comido y la compañía desecha.
El pan y el cariño no han de ser recalentados.
El peine que más raspa es el mejor para quitar la caspa.
"El perico donde quiera es verde y el que es tarugo, donde quiera pierde."
"El perro al amo, el gato a su casa y la mujer al dinero."
"El perro permanece perro, aunque sea criado entre leones."
El perro que come caca si no la come la huele.
"El perro y el niño, siempre encuentran cariño."
El pescado nace en el agua pero debe morir en el aceite.
"El pescado y la mujer, con los dedos ha de ser."
El pez grande se come al chico.
El pez por la boca muere.
El plato ajeno está más lleno.
"El plato que yo comí, aunque lo lamban los perros."
El pobre ha de ser porfiado aunque le pidan perdón.
"El pobre puede morir, lo que no puede es estar enfermo."
"El poder corrompe, el poder absoluto corrompe absolutamente."
El polvo indica de donde viene el viento.
El primer cuidado del hombre es defender el pellejo...
"Llévate de mi consejo, fíjate bien lo que hablo:..."
"...El diablo sabe por diablo, pero más sabe por viejo."
"El primero que huele la florecita, abajo esconde la semillita."
"El prometer no empobrece, el dar es lo que aniquila."
El puerco más flaco se lleva la mejor mazorca.
"El pulquero que lo entiende, más agua que pulque vende."
"El que a buen árbol se arrima, buena sombra le cobija."
"El que a buen árbol se arrima, cuando no lo ven se orina."
"El que a dos amos sirve, con alguno queda mal."
"El que a fea ama, hermosa le parece."
"El que a hierro mata, a hierro muere."
El que a la iglesia sirve de ella come.
"El que a la tienda va y viene, dos casas mantiene."
"El que a larga vida llega, mucho mal vio y más espera."
"El que a los cuarenta no atina, a los cincuenta no adivina,..."
...a los sesenta desatina.
"El que a los suyos se parece, honra merece."
"El que a los veinte no es valiente, a los treinta no es casado y..."
"...a los cuarenta no es rico, es gallo que clavó el pico."
"El que a solas se ríe, de sus maldades se acuerda."
El que acaba primero ayuda a su compañero.
"El que acierta en el casar, acierta toda su vida."
"El que adelante no ve, atrás se queda,"
"El que al alba se levanta, pierde un rato de buen sueño..."
...y cualquier bulto lo espanta.
"El que al cielo escupe, en la cara le cae."
"El que al mundo vino y no toma vino, ¿Pos a que fregaos vino?."
El que algo debe no reposa como quiere.
"El que ama a mujer ajena, siempre anda descolorido,..."
...no por el amor que siente sino por miedo al marido.
El que ama a mujer casada tiene la vida prestada.
"El que ama el peligro, en el perece."
"El que ama, teme."
El que amenaza al caballo en dos maneras le hace malo.
El que amenaza pierde ocasión de venganza.
"El que anda de buenas, no puede andar de malas."
"El que anda en la miel, algo se le pega."
El que anda sin malicia y sin rencor anda sin temor.
"El que anda tras lo ajeno, que no espere nada bueno."
"El que antes nace, antes pace."
"El que asno fue a Roma, asno retorna."
"El que ayuda a quien no tiene, mucho gana y nada pierde."
El que bebe olvida.
"El que bebe bien, vive bien."
"El que boca tiene, a Roma va."
El que busca encuentra.
"El que busca un amigo sin defectos, se queda sin amigos."
"El que calla, otorga."
El que canta su mal espanta.
El que caza a la zorra y la desuella ha de saber más que ella.
El que come jícama merece jáquima.
"El que come las duras, come las maduras."
"El que come solo, muere solo."
El que come y canta; loco se levanta.
El que come y cena dos veces pone la mesa.
"El que come y no da, ¿qué corazón tendrá.?"
El que come y no invita tiene el diablo en la barriga.
El que comió la carne roa los huesos.
"El que compra barato, compra a cada rato."
"El que compra paraguas cuando llueve, en vez de seis paga nueve."
El que compra y miente en su bolsa lo siente.
El que con caimán afana poco arriesga y mucho gana.
"El que con changos anda, a andar en las ramas se enseña."
"El que con el indio es cruel, Dios lo será con él."
"El que con leche se quema, hasta al jocoque le sopla."
"El que con lobos anda, a aullar se enseña."
"El que con niños se acuesta, amanece mojado."
"El que con niños se acuesta, que con su pan se lo coma."
"El que con vino se acuesta, con agua se desayuna."
El que conoce a Dios no a cualquier indio se le hinca.
El que copia lee dos veces.
El que corre menos vuela.
El que corre no alcanza y el que corre mucho se cae de panza.
"El que cría la polla, ése la coma"
El que da lo que tiene harto hace con dar lo suyo.
"El que da lo suyo antes de la muerte,..."
...merece que le den con un palo en los dientes.
"El que da, no pone a escoger."
El que da pa'que le den engañado debe ser.
"El que da pan al perro ajeno, pierde el pan y pierde al perro."
"El que da por que le den, engañado debe ser."
"El que da primero, da dos veces."
El que da razón del camino es por que lo tiene andado.
"El que da y quita, con el diablo se desquita."
"El que da y quita, con el diablo se desquita..."
...y con tantita polvorita se le quema su casita.
"El que da y quita, con el diablo se desquita..."
...y en la puerta de su casa le sale una jorobita.
"El que de ajeno se viste, en la calle lo desvisten."
El que de chico es guaje hasta acocote no para.
"El que de ilusiones vive, con la esperanza muere."
"El que de joven se pasa, nunca se casa."
El que de joven trotea de viejo galopea.
"El que de noche se levanta, con cualquier cosa se espanta."
"El que de santo resbala, hasta demonio no para."
"El que de santo resbala, hasta el infierno no para."
"El que de su casa se aleja, nunca la encuentra como la deja."
El que debe o paga o ruega.
"El que deja pan para mayo, viene abril y se lo come."
"El que demonios da, demonios recibe."
El que desalaba la yegua ése la compra.
El que desecha la yegua ese la lleva.
El que deveras es hombre no le busca pico al jarro.
El que dice la verdad no peca pero incomoda.
"El que dice lo que no debe, oye lo que no quiere."
"El que domina sus apetitos, evita las deudas."
El que duerme en casa ajena temprano se levanta.
El que duerme no cena y el que cena no duerme.
"El que educa a un hombre, educa a un individuo;..."
"...el que educa a una mujer, educa a una familia."
"El que empieza ganando, acaba respingando."
"El que en agosto duerme, velará en diciembre."
El que en mentira es cogido cuando dice la verdad no es creído.
El que en su tierra es santo en el norte se hace judas.
"El que encuentra un amigo, encuentra un tesoro."
El que entra a la inquisición suele salir chamuscado.
"El que entre la miel anda, algo se le pega."
El que es bonito jarrito es bonito tepalcatito.
El que es buen gallo donde quiera canta.
El que es buen mozo como quiera parece.
El que es buen muchacho será buen viejo.
"El que es buen músico, con una cuerda toca."
"El que es buen pato, hasta en el aire nada."
El que es celoso no duerme y si duerme ni lo siente.
El que es ciego de nación nunca sabe por donde anda.
El que es corto en tierra ajena toda la vida anda flaco.
El que es corto ni para grupera alcanza.
El que es corto no entra al cielo el que es largo se atraviesa.
El que es de puro dulce se lo comen las hormigas.
El que es mentiroso que sea memorioso.
El que es necio en la mesa lo es en todas partes.
"El que es negro trigueño, seguro es panameño."
El que es ocote hasta en el agua se raja.
El que es tarugo ni de Dios goza.
El que es trompudo come mucho.
El que escribe lee dos veces.
El que escucha lo que no debe oye lo que no quiere.
"El que escupe al cielo, en la cara le cae."
El que espera desespera.
El que esperar puede alcanza lo que quiere.
El que está bajo techo cuando llueve es pendejo si se mueve...
"...y si se mueve y se moja, es pendejo si se enoja."
"El que está en la aceña muele, no el que va y viene."
El que está fuera de seso descubre cualquier secreto.
"El que está lleno de problemas y ríe, es que ya encontró a quién culpar."
"El que fía, no está, salió a romperle el hocico a uno que le debía."
"El que fía o promete, en duda se mete."
El que fue cocinero antes que fraile sabe lo que pasa en la cocina.
El que fue monaguillo y después abad...
... sabe que hacen los chicos tras el altar.
El que fuera se va a casar o va engañado o va a engañar.
El que fuere enamorado que no pierda la esperanza.
El que gana el real ése lo ha de gastar.
El que gasta más de lo que tiene no debe enojarse si le dijeren ladrón.
El que gibela casquiva.
El que grazna no repite.
El que guarda halla.
"El que ha de morir a oscuras, aunque muera en velería."
El que ha de ser bachiller menester ha de aprender.
El que ha de ser barrigón aunque lo fajen.
"El que ha de ser centavo, aunque ande entre los pesos."
El que ha de ser servido ha de ser sufrido.
El que ha de servir ha de sufrir.
El que ha nacido en petate siempre anda eructando a tule.
El que ha nacido en zalea siempre anda oliendo a borrego.
El que ha nacido pa'trapo nunca llegará a ser toalla.
El que ha padecido es compadecido.
"El que ha sido cocinero antes que fraile,..."
...sabe bien lo que pasa en la cocina.
"El que habla lo que no debe, oye lo que no quiere."
El que habla mal de la yegua ese la lleva.
"El que hace la ley, hace la trampa."
"El que hace la sopa, ése la coma."
El que hace lo que no debe sucédele lo que no cree.
"El que hace mal, espere otro tal."
El que hace un cesto hace un ciento.
El que hambre tiene en pan piensa.
El que hereda no lo hurta.
El que humilde demanda hasta mármoles ablanda.
"El que intenta agotar un tema, agota a sus oyentes."
"El que juega por necesidad, pierde por obligación."
El que la debe la teme.
El que la hace la paga.
El que labra y el que guarda no fie.
El que ladra en su casa en la calle muerde.
"El que las barbas de su vecino viere pelar, eche las suyas a remojar."
El que las sabe las tañe.
El que lava puercos con jabón pierde el tiempo y el jabón.
"El que le apura el hambre, le atiza al fogón."
"El que le cantó a San Pedro, ¡El gallo!."
"El que le cantó a San Pedro, no le volverá a cantar."
El que le pega a una mujer no tiene perdón de Dios;...
...No tiene perdón de Dios si no le pega otra vez.
"El que le salga al toro, que aguante la cornada."
El que ley establece guardarla debe.
El que lo compra y lo paga bien sabrá la tasa.
"El que llora, llora por tres cosas, llora porque le duele,..."
...llora porque le gusta o llora porque extraña.
"El que mal anda, mal acaba."
El que mal anda mal halla.
"El que mal hace, mal halla."
El que mal vive poco vive.
El que malas mañas ha tarde nunca las perderá.
"El que manda no se equivoca y si se equivoca, vuelve a mandar."
El que mantiene detiene.
"El que más come, menos come."
"El que más da, más recibe."
El que más habla es el que más tiene de que callar.
El que más se perfuma más apesta.
El que me hace más bien de lo que suele...
...o engañado me ha o engañarme quiere.
"El que mete mano en bolsa ajena, se condena."
"El que mete paz, saca más."
"El que monta caballo bayo, o se le huye la mujer o lo parte un rayo."
"El que mucho abarca, poco aprieta."
El que mucho en sí confía se perderá cualquier día.
"El que mucho escoge, mierda coge."
El que mucho exprime saca sangre.
"El que mucho guarda a su mujer, mala la quiere hacer."
"El que mucho habla, mucho yerra."
El que mucho huele es porque mucho jiede.
"El que mucho mal padece, con poco bien se consuela."
"El que mucho se despide, pocas ganas tiene de irse."
"El que nace pa'dedal, del costurero no pasa."
"El que nace pa'maceta, del corredor no pasa."
"El que nace pa'panzón, ni aunque lo fajen."
El que nace para buey del cielo le caen los cuernos.
El que nace para buey hasta la coyunda lame.
"El que nace para bule, hasta jícara no para."
"El que nace para guaje, hasta jícara no para."
"El que nace para triste, ni borracho se divierte."
"El que nace tepalcate, ni a comal tiznado llega."
"El que nació pa'centavo, nunca llega a ser un real."
El que nació para ahorcado no morirá ahogado.
"El que nació para pobre, aunque sea un Salomón."
"El que nació siendo tlaco, aunque ande en los tostones."
"El que nada debe, nada teme."
"El que nada sabe, nada teme."
"El que nada, no se ahoga."
"El que nísperos come, espárragos chupa y besa a una vieja,..."
"...ni come, ni chupa, ni besa."
"El que no agradece, tarde o temprano perece."
El que no ama a Mao no e cubano.
"El que no aprende a sus años, sufre amargos desengaños."
El que no arriesga no gana.
"El que no arriesga, no cruza el río."
El que no asegunda no es buen labrador.
"El que no cae, resbala."
"El que no calaverea, verdea."
"El que no chilla, no mama."
"El que no cojea, renquea."
El que no conoce a Dios a cualquier mono se le hinca.
"El que no conoce a Dios, donde quiera se anda hincando."
"El que no conserva a su mujer, ella sola se echa a perder."
El que no corre vuela.
El que no duda no sabe cosa alguna.
"El que no echa el pecho al agua, no es buen marinero."
"El que no enseña, no vende."
El que no entra a nadar no se ahoga en el mar.
El que no es agradecido no es bien nacido.
"El que no es chiva, es güey."
